"","participant","context","environment","nLL","kernel","acq","R2","kError","lambda","beta","tau","p","ModelName","contextOrder","meanScore"
"67",114,"Conceptual","Rough",438.651948573311,"SimKernel","UCB",0.383195915318717,NA,1.17615995105446,0.00673794701438307,0.055417373248956,1.97860338825498,"SimKernel-UCB","Conceptual First",70.57
"68",114,"Conceptual","Rough",467.618922286217,"BMT","UCB",0.342464424748376,1.99983436414948,NA,0.0067379469990855,0.0577916294835601,NA,"BMT-UCB","Conceptual First",70.57
"69",114,"Conceptual","Rough",433.588930314804,"RBF","UCB",0.390315205117429,NA,1.05154591448885,0.00673794699908949,0.0560665560721543,NA,"RBF-UCB","Conceptual First",70.57
"70",114,"Spatial","Rough",387.796083430893,"SimKernel","UCB",0.454706153565387,NA,1.08530266338695,0.105119166292975,0.0555887678576748,1.54466045675166,"SimKernel-UCB","Conceptual First",82.915
"71",114,"Spatial","Rough",453.286611310019,"BMT","UCB",0.36261759625894,3.80003556056378,NA,0.140325782398907,0.0289420106525974,NA,"BMT-UCB","Conceptual First",82.915
"72",114,"Spatial","Rough",386.017825810496,"RBF","UCB",0.457206624764579,NA,1.13863592407595,0.0897076975006056,0.05861880442464,NA,"RBF-UCB","Conceptual First",82.915
"73",117,"Conceptual","Rough",469.621386337027,"RBF","UCB",0.339648688924143,NA,0.889293638361574,0.00673794699909334,0.0775192183766762,NA,"RBF-UCB","Spatial First",76.455
"74",117,"Conceptual","Rough",471.582431638157,"SimKernel","UCB",0.336891193474925,NA,0.811753563818805,0.00673794699923699,0.0765597623046401,1.58576406304347,"SimKernel-UCB","Spatial First",76.455
"75",117,"Conceptual","Rough",493.192639545675,"BMT","UCB",0.306504312596995,1.88542333796897,NA,0.0067379469990855,0.0676646201328981,NA,"BMT-UCB","Spatial First",76.455
"76",117,"Spatial","Rough",440.853418934733,"RBF","UCB",0.380100349652939,NA,1.33664890051931,0.00673794699908979,0.0587006116408229,NA,"RBF-UCB","Spatial First",74.78
"77",117,"Spatial","Rough",440.024758819638,"SimKernel","UCB",0.381265558072657,NA,1.82381734529477,0.00673794702336256,0.0553728169697562,1.55754309679298,"SimKernel-UCB","Spatial First",74.78
"78",117,"Spatial","Rough",506.976227800048,"BMT","UCB",0.287122719594812,1.0461945244621,NA,0.00673794699908547,0.0853007547301206,NA,"BMT-UCB","Spatial First",74.78
"79",118,"Conceptual","Rough",393.876110422141,"RBF","UCB",0.446156811666027,NA,0.854120177840746,0.00673794699913725,0.0647846096646089,NA,"RBF-UCB","Conceptual First",75.935
"80",118,"Conceptual","Rough",417.208292167249,"BMT","UCB",0.413348602214966,1.87080899233982,NA,0.0067379469990855,0.0575971238439127,NA,"BMT-UCB","Conceptual First",75.935
"81",118,"Conceptual","Rough",394.934195425203,"SimKernel","UCB",0.444669000762755,NA,0.954999478304452,0.0101325913036888,0.0566570552405454,0.742874101511447,"SimKernel-UCB","Conceptual First",75.935
"82",118,"Spatial","Rough",365.258464201065,"RBF","UCB",0.486397100442889,NA,1.22100624591814,0.0846954647266226,0.053893621314373,NA,"RBF-UCB","Conceptual First",81.83
"83",118,"Spatial","Rough",441.374779473234,"BMT","UCB",0.379367246082365,2.39507210785058,NA,0.0444517273102901,0.0547196462932888,NA,"BMT-UCB","Conceptual First",81.83
"84",118,"Spatial","Rough",355.99487650929,"SimKernel","UCB",0.499422960115174,NA,2.26113490941114,0.0781066140765851,0.0455112725476803,1.26653404489768,"SimKernel-UCB","Conceptual First",81.83
"85",119,"Conceptual","Smooth",322.619520547427,"RBF","UCB",0.546353233540207,NA,0.970721550741986,0.00673794699951685,0.0628121426652992,NA,"RBF-UCB","Spatial First",82.44
"86",119,"Conceptual","Smooth",315.740726341212,"BMT","UCB",0.556025750390696,4.54204468308297,NA,0.00673794699914547,0.0318087630810036,NA,"BMT-UCB","Spatial First",82.44
"87",119,"Conceptual","Smooth",317.74812339301,"SimKernel","UCB",0.553203078098567,NA,0.842662057192854,0.0383334595038104,0.0569331656290138,1.01610923967743,"SimKernel-UCB","Spatial First",82.44
"88",119,"Spatial","Smooth",409.466976440222,"RBF","UCB",0.424233941210423,NA,1.74802936729235,0.0582769482359569,0.0509151154219301,NA,"RBF-UCB","Spatial First",84.715
"89",119,"Spatial","Smooth",373.170123593897,"BMT","UCB",0.475272235168775,4.07384457666076,NA,0.15100254840586,0.0235370501207115,NA,"BMT-UCB","Spatial First",84.715
"90",119,"Spatial","Smooth",415.54632805511,"SimKernel","UCB",0.415685548981749,NA,4.97262762870355,0.00673794700162483,0.0490275022741002,1.48860512186414,"SimKernel-UCB","Spatial First",84.715
"91",12,"Conceptual","Smooth",524.163544625662,"BMT","UCB",0.262955022956897,1.90401986179704,NA,0.00673794699908561,0.0759017962467817,NA,"BMT-UCB","Conceptual First",75.735
"92",12,"Conceptual","Smooth",495.724826733835,"RBF","UCB",0.302943714254927,NA,1.06230244816829,0.00673794699916237,0.0838045010181444,NA,"RBF-UCB","Conceptual First",75.735
"93",12,"Conceptual","Smooth",491.760918188606,"SimKernel","UCB",0.308517506848241,NA,1.04392718008661,0.0239736466235746,0.0765900118580138,0.856979705697501,"SimKernel-UCB","Conceptual First",75.735
"94",12,"Spatial","Smooth",433.41764085791,"BMT","UCB",0.390556061306529,2.22317262390687,NA,0.0191388281551134,0.0602278636037554,NA,"BMT-UCB","Conceptual First",84.025
"95",12,"Spatial","Smooth",387.453513298343,"RBF","UCB",0.455187853595979,NA,1.12039445994585,0.0881241281728512,0.0527950145480472,NA,"RBF-UCB","Conceptual First",84.025
"96",12,"Spatial","Smooth",384.335825669754,"SimKernel","UCB",0.459571744902808,NA,1.11883817357558,0.103420194083447,0.0464683934430161,1.12659449711515,"SimKernel-UCB","Conceptual First",84.025
"97",120,"Conceptual","Smooth",621.116362047333,"BMT","UCB",0.126626222864833,2.89680797324483,NA,0.00673794699908563,0.0785642194082024,NA,"BMT-UCB","Conceptual First",64.68
"98",120,"Conceptual","Smooth",616.942071739621,"SimKernel","UCB",0.132495840726595,NA,0.62475676075064,0.00673794701857917,0.11440560436573,0.546209970683591,"SimKernel-UCB","Conceptual First",64.68
"99",120,"Conceptual","Smooth",617.891698780758,"RBF","UCB",0.131160536415734,NA,0.85374938672141,0.00673794699910768,0.121689275895497,NA,"RBF-UCB","Conceptual First",64.68
"100",120,"Spatial","Smooth",285.832090390274,"BMT","UCB",0.598081345679362,4.51302992236919,NA,0.258865272801881,0.0107527601553037,NA,"BMT-UCB","Conceptual First",89.31
"101",120,"Spatial","Smooth",332.06257665677,"SimKernel","UCB",0.533075016951722,NA,0.226817189077917,0.357501132469656,0.0212363573139423,0.801344235888977,"SimKernel-UCB","Conceptual First",89.31
"102",120,"Spatial","Smooth",317.599284017865,"RBF","UCB",0.553412366430351,NA,0.476405169894614,0.362206899237225,0.0204227650900413,NA,"RBF-UCB","Conceptual First",89.31
"103",121,"Conceptual","Rough",445.934377600514,"SimKernel","UCB",0.372955833210362,NA,1.02940044971529,0.0252332498580912,0.0794631351609449,1.20405354140026,"SimKernel-UCB","Spatial First",79.025
"104",121,"Conceptual","Rough",440.852291484054,"RBF","UCB",0.380101935001383,NA,1.03323196862035,0.00731456643696796,0.0846797529937056,NA,"RBF-UCB","Spatial First",79.025
"105",121,"Conceptual","Rough",416.823613577901,"BMT","UCB",0.413889512442246,2.67460383764517,NA,0.0067379469990883,0.0601620628671136,NA,"BMT-UCB","Spatial First",79.025
"106",121,"Spatial","Rough",413.951192616515,"SimKernel","UCB",0.417928525577077,NA,1.86986272189693,0.0663152378324579,0.057054668652385,1.51265520815353,"SimKernel-UCB","Spatial First",81.175
"107",121,"Spatial","Rough",406.617987366673,"RBF","UCB",0.428240005935526,NA,1.49870883903732,0.0451824286443657,0.0607938832828077,NA,"RBF-UCB","Spatial First",81.175
"108",121,"Spatial","Rough",415.448722513437,"BMT","UCB",0.415822795600595,11.5821959150186,NA,0.0067379469991976,0.00673794699908978,NA,"BMT-UCB","Spatial First",81.175
"109",122,"Conceptual","Rough",433.218244478165,"RBF","UCB",0.390836439638137,NA,0.921042827174449,0.0067379469996915,0.0759236327335445,NA,"RBF-UCB","Conceptual First",80.005
"110",122,"Conceptual","Rough",423.397724546812,"BMT","UCB",0.404645421513298,2.94040835957197,NA,0.0336020473915447,0.0479502662905871,NA,"BMT-UCB","Conceptual First",80.005
"111",122,"Conceptual","Rough",415.380064923098,"SimKernel","UCB",0.415919337476911,NA,0.921457910608133,0.0502419326368452,0.0622153666347443,0.886733935452948,"SimKernel-UCB","Conceptual First",80.005
"112",122,"Spatial","Rough",267.147067282386,"RBF","UCB",0.62435502031547,NA,1.56721345226842,0.00673794699970232,0.042024513097218,NA,"RBF-UCB","Conceptual First",87.28
"113",122,"Spatial","Rough",307.051135927347,"BMT","UCB",0.5682444921036,3.63795520273188,NA,0.195276204539556,0.0184595769641303,NA,"BMT-UCB","Conceptual First",87.28
"114",122,"Spatial","Rough",252.479616863495,"SimKernel","UCB",0.644979443299698,NA,2.8654643371759,0.0378643802038531,0.031060118341426,1.39007445085,"SimKernel-UCB","Conceptual First",87.28
"115",123,"Conceptual","Smooth",496.457653437445,"RBF","UCB",0.301913260598856,NA,1.70341797218743,0.0772198374891268,0.0874895751924739,NA,"RBF-UCB","Spatial First",82.585
"116",123,"Conceptual","Smooth",552.870093974081,"BMT","UCB",0.222589724335067,2.12769195743588,NA,0.113096590326429,0.0585795359318487,NA,"BMT-UCB","Spatial First",82.585
"117",123,"Conceptual","Smooth",482.904075444683,"SimKernel","UCB",0.320971428002812,NA,1.3005062948885,0.101563319162209,0.0709605420481493,0.964319597144159,"SimKernel-UCB","Spatial First",82.585
"118",123,"Spatial","Smooth",540.448460653184,"RBF","UCB",0.240056224132142,NA,1.21699239317311,0.0553334094428759,0.0824647482254054,NA,"RBF-UCB","Spatial First",79.22
"119",123,"Spatial","Smooth",554.815521649258,"BMT","UCB",0.219854189384397,2.17885060203284,NA,0.0493088278716994,0.0669456834490749,NA,"BMT-UCB","Spatial First",79.22
"120",123,"Spatial","Smooth",510.448222588315,"SimKernel","UCB",0.282240624406678,NA,15.976266240776,0.00924861082423115,0.077673580174535,1.38235368650736,"SimKernel-UCB","Spatial First",79.22
"121",125,"Conceptual","Rough",584.382060834787,"BMT","UCB",0.178279628507973,1.76162499927759,NA,0.00673794699908661,0.0944120121488605,NA,"BMT-UCB","Spatial First",66.985
"122",125,"Conceptual","Rough",557.478820844655,"SimKernel","UCB",0.216109229792193,NA,0.9602316223082,0.0304597097960409,0.101358449930283,1.11364453166333,"SimKernel-UCB","Spatial First",66.985
"123",125,"Conceptual","Rough",553.838999952999,"RBF","UCB",0.221227311225055,NA,1.02524364614912,0.010114940028363,0.107673001920802,NA,"RBF-UCB","Spatial First",66.985
"124",125,"Spatial","Rough",436.435263930234,"BMT","UCB",0.386312874326302,2.31248087680163,NA,0.00874035712320314,0.062114361589935,NA,"BMT-UCB","Spatial First",75.415
"125",125,"Spatial","Rough",423.847494332816,"SimKernel","UCB",0.404012984242528,NA,0.776804479385786,0.0153425467355614,0.0714078169004854,0.979117401118819,"SimKernel-UCB","Spatial First",75.415
"126",125,"Spatial","Rough",432.823631758717,"RBF","UCB",0.391391318598586,NA,0.746042052747992,0.0295016199462242,0.0750575525562002,NA,"RBF-UCB","Spatial First",75.415
"127",127,"Conceptual","Smooth",218.182007881835,"SimKernel","UCB",0.69320652945193,NA,0.575750049771216,0.0796558853219209,0.0489112485313558,0.453438052416453,"SimKernel-UCB","Spatial First",91.66
"128",127,"Conceptual","Smooth",211.433760558752,"BMT","UCB",0.702695479693357,2.02348613489336,NA,0.0240245019715301,0.0520813788619404,NA,"BMT-UCB","Spatial First",91.66
"129",127,"Conceptual","Smooth",228.079025920075,"RBF","UCB",0.679289980871659,NA,0.674722121795422,0.0865276886570286,0.0560030708290353,NA,"RBF-UCB","Spatial First",91.66
"130",127,"Spatial","Smooth",256.622751167758,"SimKernel","UCB",0.639153635000968,NA,0.276892400762359,0.237875436742904,0.0296712108197309,0.697857732484961,"SimKernel-UCB","Spatial First",88.925
"131",127,"Spatial","Smooth",217.566822350796,"BMT","UCB",0.694071563676936,4.69972561852637,NA,0.183053172540512,0.0134273109763915,NA,"BMT-UCB","Spatial First",88.925
"132",127,"Spatial","Smooth",258.028551987398,"RBF","UCB",0.637176888538032,NA,0.517805325601805,0.243300490891046,0.0296552828786325,NA,"RBF-UCB","Spatial First",88.925
"133",130,"Conceptual","Rough",613.840481524573,"BMT","UCB",0.136857096888504,1.59848128010917,NA,0.00673794699908601,0.101895494918854,NA,"BMT-UCB","Conceptual First",72.9
"134",130,"Conceptual","Rough",560.794205318556,"RBF","UCB",0.211447349929485,NA,1.33164256330575,0.00673794699918757,0.0996271597376694,NA,"RBF-UCB","Conceptual First",72.9
"135",130,"Conceptual","Rough",563.007746627792,"SimKernel","UCB",0.208334810875257,NA,2.09573462430733,0.00673794721403886,0.0927314323115114,1.40955666854745,"SimKernel-UCB","Conceptual First",72.9
"136",130,"Spatial","Rough",381.847665086137,"BMT","UCB",0.463070435872515,2.85248006632273,NA,0.128122670265502,0.0360794099424528,NA,"BMT-UCB","Conceptual First",84.24
"137",130,"Spatial","Rough",314.288995915235,"RBF","UCB",0.558067080104404,NA,1.53792887253447,0.0658432743536576,0.0466360360171922,NA,"RBF-UCB","Conceptual First",84.24
"138",130,"Spatial","Rough",297.766811293733,"SimKernel","UCB",0.581299510726327,NA,2.51785564812793,0.100402789844125,0.0371544192257729,1.35282806022215,"SimKernel-UCB","Conceptual First",84.24
"139",131,"Conceptual","Smooth",142.271596125162,"RBF","UCB",0.799946855566152,NA,1.41842314912987,0.0644698218259294,0.0194740866462537,NA,"RBF-UCB","Spatial First",89.01
