"","participant","context","environment","leaveoutindex","nLL","R2","kernel","acq","kError","lambda","beta","tau","p","roundnLL","contextOrder","meanScore"
"21",1,"Conceptual","Rough",1,387.474335887065,0.455158574214411,"RBF","UCB",NA,0.61149656617519,0.221355153039038,0.038937984465034,NA,98.739694163074,"Spatial First",81.535
"22",1,"Conceptual","Rough",2,387.474335887065,0.455158574214411,"RBF","UCB",NA,0.531038464498865,0.216955414157116,0.0445032712637932,NA,29.791093471939,"Spatial First",81.535
"23",1,"Conceptual","Rough",3,387.474335887065,0.455158574214411,"RBF","UCB",NA,0.547159974354945,0.214703375653144,0.045602319784738,NA,21.3838969512727,"Spatial First",81.535
"24",1,"Conceptual","Rough",4,387.474335887065,0.455158574214411,"RBF","UCB",NA,0.520558353907725,0.207407094283166,0.0450115552080579,NA,43.7546291128547,"Spatial First",81.535
"25",1,"Conceptual","Rough",5,387.474335887065,0.455158574214411,"RBF","UCB",NA,0.547209090158607,0.216442682400935,0.0446622311182442,NA,27.9865767643002,"Spatial First",81.535
"26",1,"Conceptual","Rough",6,387.474335887065,0.455158574214411,"RBF","UCB",NA,0.510955985577391,0.24131131614074,0.0432462394849068,NA,15.8995344513314,"Spatial First",81.535
"27",1,"Conceptual","Rough",7,387.474335887065,0.455158574214411,"RBF","UCB",NA,0.486250079695747,0.271297143473865,0.0328985864155125,NA,57.3098957440408,"Spatial First",81.535
"28",1,"Spatial","Rough",1,531.895095972385,0.252083414003393,"BMT","UCB",3.05819928576782,NA,0.16592005698084,0.0333231168916789,NA,83.0316175556866,"Spatial First",78.375
"29",1,"Spatial","Rough",2,531.895095972385,0.252083414003393,"BMT","UCB",3.30049921406036,NA,0.166812185482619,0.0327444423671488,NA,78.8024376593722,"Spatial First",78.375
"30",1,"Spatial","Rough",3,531.895095972385,0.252083414003393,"BMT","UCB",2.84059052768788,NA,0.161378996676116,0.0345957384002036,NA,88.016706361207,"Spatial First",78.375
"31",1,"Spatial","Rough",4,531.895095972385,0.252083414003393,"BMT","UCB",3.9836261477642,NA,0.207883271180644,0.0226323161760685,NA,59.5763808591889,"Spatial First",78.375
"32",1,"Spatial","Rough",5,531.895095972385,0.252083414003393,"BMT","UCB",3.69254952919572,NA,0.198011353017452,0.025770659444157,NA,42.9197078616077,"Spatial First",78.375
"33",1,"Spatial","Rough",6,531.895095972385,0.252083414003393,"BMT","UCB",3.78774109969869,NA,0.189797060731985,0.0272809916293652,NA,41.0835638232976,"Spatial First",78.375
"34",1,"Spatial","Rough",7,531.895095972385,0.252083414003393,"BMT","UCB",3.97698823580235,NA,0.234122491019648,0.0199042368384121,NA,61.389883833757,"Spatial First",78.375
"35",1,"Spatial","Rough",8,531.895095972385,0.252083414003393,"BMT","UCB",3.87960090014166,NA,0.198374663731325,0.0249429679163464,NA,45.9992149696595,"Spatial First",78.375
"36",1,"Spatial","Rough",9,531.895095972385,0.252083414003393,"BMT","UCB",3.36261023201789,NA,0.182231817357977,0.0314330850474464,NA,31.0755830486085,"Spatial First",78.375
"37",1,"Spatial","Rough",8,487.481115537716,0.314535489363272,"SimKernel","UCB",NA,0.749455363786972,0.170223818837134,0.0664535322131191,1.38427581968267,35.9204033604727,"Spatial First",78.375
"38",1,"Spatial","Rough",9,487.481115537716,0.314535489363272,"SimKernel","UCB",NA,0.932503620987879,0.152104170528732,0.0723245698119676,1.45951571328186,36.4899011190521,"Spatial First",78.375
"39",1,"Spatial","Rough",1,487.481115537716,0.314535489363272,"SimKernel","UCB",NA,0.838064840347069,0.146728718290724,0.0588796338025844,1.17695906500924,93.7259965800695,"Spatial First",78.375
"40",1,"Spatial","Rough",2,487.481115537716,0.314535489363272,"SimKernel","UCB",NA,0.82521713079472,0.143581591350688,0.0682957447758191,1.34786150827921,69.7553593485212,"Spatial First",78.375
"41",1,"Spatial","Rough",3,487.481115537716,0.314535489363272,"SimKernel","UCB",NA,0.852496673762459,0.127386979682967,0.064717337823827,1.54353056254207,77.2314173108137,"Spatial First",78.375
"42",1,"Spatial","Rough",4,487.481115537716,0.314535489363272,"SimKernel","UCB",NA,0.762263861657292,0.185736897245857,0.0623262270382521,1.29304053845509,50.2312171774185,"Spatial First",78.375
"43",1,"Spatial","Rough",5,487.481115537716,0.314535489363272,"SimKernel","UCB",NA,0.852669227233241,0.163860879244149,0.0684159217305849,1.64536689489001,38.758733838132,"Spatial First",78.375
"44",1,"Spatial","Rough",6,487.481115537716,0.314535489363272,"SimKernel","UCB",NA,0.849063504596809,0.160945561692313,0.0699298527062795,1.42931340366368,35.645525251105,"Spatial First",78.375
"45",1,"Spatial","Rough",7,487.481115537716,0.314535489363272,"SimKernel","UCB",NA,0.625384859619567,0.201427500233107,0.0613765017761527,1.21207861759823,49.7225615521311,"Spatial First",78.375
"46",1,"Spatial","Rough",8,485.867855194332,0.316803952030974,"RBF","UCB",NA,0.910716726058607,0.153795339912127,0.0714903980124131,NA,36.5766836574821,"Spatial First",78.375
"47",1,"Spatial","Rough",9,485.867855194332,0.316803952030974,"RBF","UCB",NA,1.04271517793503,0.128196574681703,0.0788489113338194,NA,36.6699969734518,"Spatial First",78.375
"48",1,"Spatial","Rough",1,485.867855194332,0.316803952030974,"RBF","UCB",NA,1.02320515632445,0.110314130468726,0.0676485720434532,NA,89.9696877947314,"Spatial First",78.375
"49",1,"Spatial","Rough",2,485.867855194332,0.316803952030974,"RBF","UCB",NA,0.953654015957969,0.124675145069849,0.073786766312688,NA,69.0664887820436,"Spatial First",78.375
"50",1,"Spatial","Rough",3,485.867855194332,0.316803952030974,"RBF","UCB",NA,0.935868303953878,0.120443716352973,0.0671663991953008,NA,78.1727065853224,"Spatial First",78.375
"51",1,"Spatial","Rough",4,485.867855194332,0.316803952030974,"RBF","UCB",NA,0.9449838786431,0.162034504054869,0.0692734531279862,NA,49.1677915625003,"Spatial First",78.375
"52",1,"Spatial","Rough",5,485.867855194332,0.316803952030974,"RBF","UCB",NA,0.953290334560277,0.154836152481928,0.0706500217485385,NA,40.8751386623443,"Spatial First",78.375
"53",1,"Spatial","Rough",6,485.867855194332,0.316803952030974,"RBF","UCB",NA,0.990640389963364,0.14184440300399,0.0757458099635238,NA,36.5582592639715,"Spatial First",78.375
"54",1,"Spatial","Rough",7,485.867855194332,0.316803952030974,"RBF","UCB",NA,0.836823149722406,0.181519821115968,0.0673639531869644,NA,48.8111019124852,"Spatial First",78.375
"55",10,"Conceptual","Rough",2,542.124500074185,0.237699485573649,"SimKernel","UCB",NA,4.91036054864123,0.00673794699930263,0.0877179894356801,1.18765859366087,60.4582201551261,"Conceptual First",69.68
"56",10,"Conceptual","Rough",3,542.124500074185,0.237699485573649,"SimKernel","UCB",NA,5.09742603797049,0.00673794700075788,0.0913732651225044,1.1200769624041,47.0957917810216,"Conceptual First",69.68
"57",10,"Conceptual","Rough",4,542.124500074185,0.237699485573649,"SimKernel","UCB",NA,4.59808496430492,0.00673794699916139,0.0880805566508732,1.23031336658255,47.3308066657395,"Conceptual First",69.68
"58",10,"Conceptual","Rough",1,542.124500074185,0.237699485573649,"SimKernel","UCB",NA,6.49345337655218,0.0067379469999007,0.0881523891465928,1.24955313805053,70.8576173577212,"Conceptual First",69.68
"59",10,"Conceptual","Rough",1,555.61156214464,0.218734848570523,"RBF","UCB",NA,1.93146288903233,0.00673794699908582,0.10116855602081,NA,70.66697971207,"Conceptual First",69.68
"60",10,"Conceptual","Rough",2,555.61156214464,0.218734848570523,"RBF","UCB",NA,1.7523493472795,0.0067379470036274,0.101849158010485,NA,58.9753640649968,"Conceptual First",69.68
"61",10,"Conceptual","Rough",3,555.61156214464,0.218734848570523,"RBF","UCB",NA,1.71679289118615,0.00673794699913341,0.105127709471504,NA,46.0294259779538,"Conceptual First",69.68
"62",10,"Conceptual","Rough",4,555.61156214464,0.218734848570523,"RBF","UCB",NA,1.68434275944225,0.00673794699922819,0.100038011962824,NA,51.0383045943572,"Conceptual First",69.68
"63",10,"Conceptual","Rough",5,542.124500074185,0.237699485573649,"SimKernel","UCB",NA,4.71763366639715,0.00673794699999738,0.0843302274300142,1.26464772913271,61.5162077500613,"Conceptual First",69.68
"64",10,"Conceptual","Rough",1,597.963534542291,0.159182235948733,"BMT","UCB",3.00169135410511,NA,0.0916152504537761,0.0497167963071036,NA,74.8851210640061,"Conceptual First",69.68
